订单号,下单时间,用户ID,商品类别,订单金额,支付方式,物流状态,是否优惠券,收货城市
ORD_00001,2024-06-01 00:00,USER_0000,数码,50,支付宝,已签收,是,北京
ORD_00002,2024-06-01 01:00,USER_0001,服饰,60,微信支付,运输中,否,上海
ORD_00003,2024-06-01 02:00,USER_0002,食品,70,信用卡,待发货,否,广州
ORD_00004,2024-06-01 03:00,USER_0003,家居,80,花呗,已取消,否,深圳
ORD_00005,2024-06-01 04:00,USER_0004,美妆,90,货到付款,退货中,是,杭州
ORD_00006,2024-06-01 05:00,USER_0005,数码,100,支付宝,已签收,否,北京
ORD_00007,2024-06-01 06:00,USER_0006,服饰,110,微信支付,运输中,否,上海
ORD_00008,2024-06-01 07:00,USER_0007,食品,120,信用卡,待发货,否,广州
ORD_00009,2024-06-01 08:00,USER_0008,家居,130,花呗,已取消,是,深圳
ORD_00010,2024-06-01 09:00,USER_0009,美妆,140,货到付款,退货中,否,杭州
ORD_00011,2024-06-01 10:00,USER_0010,数码,150,支付宝,已签收,否,北京
ORD_00012,2024-06-01 11:00,USER_0011,服饰,160,微信支付,运输中,否,上海
ORD_00013,2024-06-01 12:00,USER_0012,食品,170,信用卡,待发货,是,广州
ORD_00014,2024-06-01 13:00,USER_0013,家居,180,花呗,已取消,否,深圳
ORD_00015,2024-06-01 14:00,USER_0014,美妆,190,货到付款,退货中,否,杭州
ORD_00016,2024-06-01 15:00,USER_0015,数码,200,支付宝,已签收,否,北京
ORD_00017,2024-06-01 16:00,USER_0016,服饰,210,微信支付,运输中,是,上海
ORD_00018,2024-06-01 17:00,USER_0017,食品,220,信用卡,待发货,否,广州
ORD_00019,2024-06-01 18:00,USER_0018,家居,230,花呗,已取消,否,深圳
ORD_00020,2024-06-01 19:00,USER_0019,美妆,240,货到付款,退货中,否,杭州
ORD_00021,2024-06-01 20:00,USER_0020,数码,250,支付宝,已签收,是,北京
ORD_00022,2024-06-01 21:00,USER_0021,服饰,260,微信支付,运输中,否,上海
ORD_00023,2024-06-01 22:00,USER_0022,食品,270,信用卡,待发货,否,广州
ORD_00024,2024-06-01 23:00,USER_0023,家居,280,花呗,已取消,否,深圳
ORD_00025,2024-06-02 00:00,USER_0024,美妆,290,货到付款,退货中,是,杭州
ORD_00026,2024-06-02 01:00,USER_0025,数码,300,支付宝,已签收,否,北京
ORD_00027,2024-06-02 02:00,USER_0026,服饰,310,微信支付,运输中,否,上海
ORD_00028,2024-06-02 03:00,USER_0027,食品,320,信用卡,待发货,否,广州
ORD_00029,2024-06-02 04:00,USER_0028,家居,330,花呗,已取消,是,深圳
ORD_00030,2024-06-02 05:00,USER_0029,美妆,340,货到付款,退货中,否,杭州
ORD_00031,2024-06-02 06:00,USER_0030,数码,350,支付宝,已签收,否,北京
ORD_00032,2024-06-02 07:00,USER_0031,服饰,360,微信支付,运输中,否,上海
