客户ID,服务态度评分,产品质量评分,物流速度评分,售后支持评分,整体满意度,是否推荐,会员等级,注册时长
CUST_0001,3,4,5,3,4,否,普通,1
CUST_0002,4,5,3,4,5,是,银牌,2
CUST_0003,5,3,4,5,3,是,金牌,3
CUST_0004,3,4,5,3,4,是,钻石,4
CUST_0005,4,5,3,4,5,否,普通,5
CUST_0006,5,3,4,5,3,是,银牌,6
CUST_0007,3,4,5,3,4,是,金牌,7
CUST_0008,4,5,3,4,5,是,钻石,8
CUST_0009,5,3,4,5,3,否,普通,9
CUST_0010,3,4,5,3,4,是,银牌,10
CUST_0011,4,5,3,4,5,是,金牌,11
CUST_0012,5,3,4,5,3,是,钻石,12
CUST_0013,3,4,5,3,4,否,普通,13
CUST_0014,4,5,3,4,5,是,银牌,14
CUST_0015,5,3,4,5,3,是,金牌,15
CUST_0016,3,4,5,3,4,是,钻石,16
CUST_0017,4,5,3,4,5,否,普通,17
CUST_0018,5,3,4,5,3,是,银牌,18
CUST_0019,3,4,5,3,4,是,金牌,19
CUST_0020,4,5,3,4,5,是,钻石,20
CUST_0021,5,3,4,5,3,否,普通,21
CUST_0022,3,4,5,3,4,是,银牌,22
CUST_0023,4,5,3,4,5,是,金牌,23
CUST_0024,5,3,4,5,3,是,钻石,24
CUST_0025,3,4,5,3,4,否,普通,25
CUST_0026,4,5,3,4,5,是,银牌,26
CUST_0027,5,3,4,5,3,是,金牌,27
CUST_0028,3,4,5,3,4,是,钻石,28
CUST_0029,4,5,3,4,5,否,普通,29
CUST_0030,5,3,4,5,3,是,银牌,30
CUST_0031,3,4,5,3,4,是,金牌,31
CUST_0032,4,5,3,4,5,是,钻石,32
CUST_0033,5,3,4,5,3,否,普通,33
CUST_0034,3,4,5,3,4,是,银牌,34
CUST_0035,4,5,3,4,5,是,金牌,35
CUST_0036,5,3,4,5,3,是,钻石,36
CUST_0037,3,4,5,3,4,否,普通,1
CUST_0038,4,5,3,4,5,是,银牌,2
CUST_0039,5,3,4,5,3,是,金牌,3
CUST_0040,3,4,5,3,4,是,钻石,4
CUST_0041,4,5,3,4,5,否,普通,5
CUST_0042,5,3,4,5,3,是,银牌,6
CUST_0043,3,4,5,3,4,是,金牌,7
CUST_0044,4,5,3,4,5,是,钻石,8
CUST_0045,5,3,4,5,3,否,普通,9
CUST_0046,3,4,5,3,4,是,银牌,10
CUST_0047,4,5,3,4,5,是,金牌,11
CUST_0048,5,3,4,5,3,是,钻石,12
CUST_0049,3,4,5,3,4,否,普通,13
